Player,Span,Matches,Innings,Not Out,Runs Scored,Highest Score,Average,Bowls Faced,Strike Rate,100,50,0,4s,6s,Economy Rate,Maidens Bowled,Wickets Taken
GJ Maxwell (AUS),2012-2022,0.5454545454545454,0.49999999999999994,0.3571428571428571,0.3212890625,0.4615384615384616,0.22912150962641845,0.2597911227154047,0.8026308062716543,0.0,0.14285714285714285,0.0,0.2843137254901961,0.3333333333333333,,,
LJ Wright (ENG),2007-2012,0.4848484848484849,0.4666666666666666,0.21428571428571427,0.314453125,0.7362637362637363,0.20298355221216371,0.26762402088772846,0.7723882788184862,0.0,0.21428571428571427,0.8,0.25490196078431376,0.3,,,
MEK Hussey (AUS),2007-2012,0.45454545454545453,0.3333333333333333,0.5714285714285714,0.3125,0.30769230769230776,0.5701899783246206,0.2741514360313316,0.7552410593693113,0.0,0.14285714285714285,0.0,0.2352941176470589,0.21666666666666667,,,
P Nissanka (SL),2021-2022,0.27272727272727276,0.3,0.0,0.310546875,0.4615384615384616,0.2435292617620808,0.36684073107049614,0.6006224675553468,0.0,0.3571428571428571,0.4,0.22549019607843143,0.16666666666666669,,,
JH Kallis (SA),2009-2012,0.27272727272727276,0.23333333333333334,0.07142857142857142,0.30859375,0.45054945054945056,0.33380084151472644,0.34595300261096606,0.6263432967291092,0.0,0.21428571428571427,0.0,0.2647058823529412,0.16666666666666669,,,
Babar Azam (PAK),2021-2022,0.2121212121212121,0.23333333333333334,0.07142857142857142,0.302734375,0.4175824175824176,0.3274257299502741,0.3524804177545692,0.6076105467144284,0.0,0.3571428571428571,0.2,0.3137254901960785,0.033333333333333326,,,
Q de Kock (SA),2014-2022,0.3636363636363636,0.39999999999999997,0.07142857142857142,0.2861328125,0.3406593406593407,0.18118067066173657,0.2741514360313316,0.7046215279816784,0.0,0.14285714285714285,0.4,0.41176470588235303,0.15000000000000002,,,
PR Stirling (IRE),2009-2022,0.45454545454545453,0.4666666666666666,0.21428571428571427,0.283203125,0.3736263736263737,0.1790131327298228,0.293733681462141,0.6640436901755828,0.0,0.14285714285714285,0.6000000000000001,0.3725490196078432,0.1333333333333333,,,
Mohammad Shahzad (AFG),2010-2021,0.393939393939394,0.4333333333333333,0.0,0.2783203125,0.3956043956043956,0.14344001020017846,0.3002610966057441,0.644312643138176,0.0,0.14285714285714285,0.4,0.3137254901960785,0.25,,,
Mushfiqur Rahim (BAN),2007-2021,0.8181818181818181,0.7333333333333334,0.3571428571428571,0.2783203125,0.2747252747252747,0.09651918908580898,0.3537859007832898,0.566562922074109,0.0,0.07142857142857142,0.6000000000000001,0.2647058823529412,0.08333333333333333,,,
HM Amla (SA),2012-2016,0.24242424242424243,0.26666666666666666,0.14285714285714285,0.2529296875,0.28571428571428575,0.2732372816524289,0.2506527415143603,0.6838334605672677,0.0,0.21428571428571427,0.2,0.3235294117647059,0.08333333333333333,,,
Misbah-ul-Haq (PAK),2007-2010,0.42424242424242425,0.36666666666666664,0.3571428571428571,0.2451171875,0.3736263736263737,0.2646946321560627,0.2519582245430809,0.6654530506782548,0.0,0.14285714285714285,0.2,0.13725490196078435,0.18333333333333335,,,
MP O'Dowd (NED),2021-2022,0.15151515151515155,0.16666666666666663,0.07142857142857142,0.2421875,0.42857142857142866,0.33915593522886656,0.2845953002610966,0.6030888484350226,0.0,0.2857142857142857,0.0,0.25490196078431376,0.09999999999999999,,,
Mahmudullah (BAN),2007-2021,0.7272727272727273,0.6666666666666667,0.42857142857142855,0.240234375,0.19780219780219782,0.1051893408134642,0.293733681462141,0.5852956720887897,0.0,0.07142857142857142,0.4,0.16666666666666669,0.1333333333333333,,,
KIC Asalanka (SL),2021-2022,0.2121212121212121,0.23333333333333334,0.21428571428571427,0.2392578125,0.5274725274725276,0.3353308682901951,0.21801566579634463,0.7227083210993012,0.0,0.14285714285714285,0.2,0.22549019607843143,0.1333333333333333,,,
SA Yadav (IND),2021-2022,0.12121212121212122,0.09999999999999998,0.2857142857142857,0.16015625,0.3956043956043956,0.5903353308682903,0.06788511749347259,1.0,0.0,0.21428571428571427,0.0,0.21568627450980396,0.1333333333333333,,,
DJG Sammy (WI),2009-2016,0.5757575757575757,0.39999999999999997,0.42857142857142855,0.095703125,0.10989010989010989,0.10212928726252707,0.036553524804177534,0.8991720007046803,0.0,0.0,0.4,0.11764705882352944,0.09999999999999999,,,
MP Stoinis (AUS),2021-2022,0.15151515151515155,0.06666666666666665,0.2857142857142857,0.0869140625,0.2967032967032967,0.5304092821624378,0.04308093994778067,0.8248869575430149,0.0,0.07142857142857142,0.2,0.04901960784313729,0.15000000000000002,,,
Imran Nazir (PAK),2007-2012,0.2121212121212121,0.23333333333333334,0.07142857142857142,0.1787109375,0.4395604395604396,0.1925283692464618,0.1266318537859008,0.8162546244641494,0.0,0.14285714285714285,0.0,0.2745098039215687,0.16666666666666669,,,
JE Root (ENG),2016-2016,0.0,0.0,0.07142857142857142,0.12890625,0.5604395604395604,0.5087339028432997,0.08746736292428198,0.7955252804040167,0.0,0.14285714285714285,0.0,0.1470588235294118,0.06666666666666667,,,
ML Hayden (AUS),2007-2007,0.0,0.0,0.21428571428571427,0.14453125,0.45054945054945056,1.0,0.10443864229765012,0.7857184802395915,0.0,0.2857142857142857,0.0,0.22549019607843143,0.11666666666666665,,,
JJ Roy (ENG),2016-2021,0.15151515151515155,0.16666666666666663,0.07142857142857142,0.1845703125,0.5054945054945055,0.26392961876832843,0.1422976501305483,0.7829584825885256,0.0,0.14285714285714285,0.2,0.2352941176470589,0.15000000000000002,,,
BKG Mendis (SL),2022-2022,0.06060606060606061,0.06666666666666665,0.07142857142857142,0.103515625,0.5164835164835164,0.27986739767945945,0.0691906005221932,0.774795936343884,0.0,0.14285714285714285,0.0,0.07843137254901962,0.11666666666666665,,,
JA Morkel (SA),2007-2014,0.5757575757575757,0.4666666666666666,0.3571428571428571,0.1865234375,0.1208791208791209,0.13553487186025756,0.14751958224543082,0.7727406189441541,0.0,0.0,0.2,0.05882352941176473,0.2833333333333333,,,
NLTC Perera (SL),2010-2016,0.42424242424242425,0.36666666666666664,0.5,0.1123046875,0.08791208791208793,0.16957796761443325,0.0783289817232376,0.7712138117329264,0.0,0.0,0.0,0.07843137254901962,0.16666666666666669,,,
Shafiqullah (AFG),2012-2016,0.15151515151515155,0.16666666666666663,0.21428571428571427,0.0625,0.20879120879120877,0.16218283819966847,0.033942558746736295,0.759351694168771,0.0,0.07142857142857142,0.2,0.07843137254901962,0.08333333333333333,,,
Mohammad Ashraful (BAN),2007-2012,0.15151515151515155,0.16666666666666663,0.0,0.0927734375,0.3626373626373626,0.11946959071783755,0.06527415143603132,0.7490751071701216,0.0,0.14285714285714285,0.2,0.11764705882352944,0.08333333333333333,,,
GD Phillips (NZ),2021-2022,0.18181818181818182,0.1333333333333333,0.07142857142857142,0.1845703125,0.7912087912087913,0.30728037740660463,0.15404699738903394,0.7484878736273417,0.5,0.07142857142857142,0.0,0.1274509803921569,0.16666666666666669,,,
KL Rahul (IND),2021-2022,0.15151515151515155,0.16666666666666663,0.07142857142857142,0.2001953125,0.40659340659340665,0.2843299757745761,0.16971279373368148,0.7469023430618357,0.0,0.3571428571428571,0.0,0.17647058823529416,0.2,,,
MA Leask (SCOT),2016-2022,0.18181818181818182,0.16666666666666663,0.14285714285714285,0.0537109375,0.1318681318681319,0.11742955501721278,0.02872062663185379,0.7434376651594339,0.0,0.0,0.4,0.06862745098039218,0.06666666666666667,,,
AK Markram (SA),2021-2022,0.12121212121212122,0.09999999999999998,0.14285714285714285,0.140625,0.21978021978021983,0.3491011092694122,0.1135770234986945,0.7420283046567622,0.0,0.21428571428571427,0.2,0.1274509803921569,0.11666666666666665,,,
HH Pandya (IND),2016-2022,0.30303030303030304,0.1333333333333333,0.07142857142857142,0.09375,0.3406593406593407,0.17544307025372943,0.0691906005221932,0.7371542662516883,0.0,0.07142857142857142,0.0,0.06862745098039218,0.11666666666666665,,,
CL White (AUS),2010-2014,0.27272727272727276,0.23333333333333334,0.42857142857142855,0.1376953125,0.5824175824175826,0.3436185133239832,0.1122715404699739,0.7369780961888543,0.0,0.07142857142857142,0.2,0.08823529411764706,0.18333333333333335,,,
Najibullah Zadran (AFG),2012-2022,0.3636363636363636,0.3,0.21428571428571427,0.1943359375,0.45054945054945056,0.20948616600790512,0.16840731070496084,0.7352163955605144,0.0,0.14285714285714285,0.2,0.18627450980392163,0.16666666666666669,,,
F du Plessis (SA),2012-2016,0.09090909090909088,0.09999999999999998,0.0,0.150390625,0.3626373626373626,0.25768200943516506,0.12532637075718017,0.7350989488519585,0.0,0.14285714285714285,0.0,0.17647058823529416,0.06666666666666667,,,
DJ Mitchell (NZ),2021-2022,0.15151515151515155,0.16666666666666663,0.21428571428571427,0.1953125,0.4395604395604396,0.3789366313910493,0.16971279373368148,0.7343355452463446,0.0,0.14285714285714285,0.0,0.107843137254902,0.1333333333333333,,,
MR Marsh (AUS),2016-2022,0.18181818181818182,0.16666666666666663,0.14285714285714285,0.19921875,0.4945054945054946,0.32844574780058644,0.17362924281984332,0.7341006518292325,0.0,0.14285714285714285,0.0,0.16666666666666669,0.21666666666666667,,,
SJ Myburgh (NED),2014-2022,0.27272727272727276,0.26666666666666666,0.0,0.23046875,0.3406593406593407,0.1952059161035318,0.20626631853785898,0.7295789535498268,0.0,0.21428571428571427,0.4,0.3725490196078432,0.18333333333333335,,,
MDKJ Perera (SL),2014-2021,0.24242424242424243,0.26666666666666666,0.07142857142857142,0.1279296875,0.3186813186813187,0.1169195460920566,0.10574412532637076,0.726877679253039,0.0,0.07142857142857142,0.2,0.17647058823529416,0.09999999999999999,,,
DA Miller (SA),2014-2022,0.3636363636363636,0.26666666666666666,0.42857142857142855,0.1337890625,0.2967032967032967,0.2785923753665689,0.11488250652741513,0.7163074754829996,0.0,0.07142857142857142,0.0,0.06862745098039218,0.11666666666666665,,,
DJ Hussey (AUS),2009-2012,0.12121212121212122,0.1333333333333333,0.07142857142857142,0.1142578125,0.2967032967032967,0.20527859237536658,0.09660574412532638,0.7117270538493159,0.0,0.14285714285714285,0.4,0.0,0.2,,,
JDP Oram (NZ),2007-2012,0.3636363636363636,0.3,0.07142857142857142,0.0703125,0.03296703296703296,0.0459008032640571,0.05221932114882505,0.7114921604322039,0.0,0.0,0.2,0.04901960784313729,0.08333333333333333,,,
PBB Rajapaksa (SL),2021-2022,0.30303030303030304,0.23333333333333334,0.14285714285714285,0.1591796875,0.23076923076923078,0.19826596965446894,0.14360313315926893,0.7073228022784661,0.0,0.07142857142857142,0.2,0.17647058823529416,0.11666666666666665,,,
Sikandar Raza (ZIM),2014-2022,0.24242424242424243,0.26666666666666666,0.0,0.1572265625,0.5494505494505495,0.12686472013260233,0.1422976501305483,0.7054436549415702,0.0,0.07142857142857142,0.4,0.1274509803921569,0.1333333333333333,,,
MJ Lumb (ENG),2010-2014,0.15151515151515155,0.16666666666666663,0.0,0.0751953125,0.010989010989011005,0.09855922478643372,0.05874673629242819,0.7051500381701804,0.0,0.0,0.2,0.13725490196078435,0.05,,,
D Wiese (NAM/SA),2016-2022,0.24242424242424243,0.23333333333333334,0.3571428571428571,0.19921875,0.3736263736263737,0.38531174295550163,0.1866840731070496,0.7016266369135005,0.0,0.14285714285714285,0.2,0.09803921568627455,0.18333333333333335,,,
V Sehwag (IND),2007-2012,0.09090909090909088,0.06666666666666665,0.0,0.068359375,0.3956043956043956,0.17174550554634707,0.05352480417754568,0.6979857889482648,0.0,0.07142857142857142,0.0,0.09803921568627455,0.05,,,
DP Conway (NZ),2021-2022,0.15151515151515155,0.16666666666666663,0.21428571428571427,0.1533203125,0.6593406593406594,0.3104679331888308,0.18276762402088775,0.597510129778613,0.0,0.07142857142857142,0.0,0.15686274509803924,0.0,,,
Younis Khan (PAK),2007-2009,0.24242424242424243,0.23333333333333334,0.21428571428571427,0.177734375,0.20879120879120877,0.25500446257809506,0.1801566579634465,0.6639262434670269,0.0,0.14285714285714285,0.0,0.11764705882352944,0.08333333333333333,,,
JJ Smit (NAM),2021-2022,0.15151515151515155,0.1333333333333333,0.42857142857142855,0.0,0.0,0.246716817544307,0.0,0.6024428915379647,0.0,0.0,0.2,0.0,0.016666666666666663,,,
ADS Fletcher (WI),2009-2016,0.15151515151515155,0.16666666666666663,0.21428571428571427,0.099609375,0.5714285714285714,0.22274639806196608,0.11488250652741513,0.6086675670914323,0.0,0.14285714285714285,0.6000000000000001,0.107843137254902,0.08333333333333333,,,
RS Bopara (ENG),2009-2014,0.15151515151515155,0.16666666666666663,0.14285714285714285,0.119140625,0.2527472527472528,0.21229121509626417,0.13707571801566582,0.6101356509483823,0.0,0.07142857142857142,0.0,0.107843137254902,0.0,,,
Salman Butt (PAK),2007-2010,0.24242424242424243,0.26666666666666666,0.07142857142857142,0.220703125,0.45054945054945056,0.21012367716435035,0.2754569190600522,0.5768395090727583,0.0,0.14285714285714285,0.2,0.30392156862745107,0.033333333333333326,,,
HG Munsey (SCOT),2016-2022,0.24242424242424243,0.26666666666666666,0.07142857142857142,0.21875,0.3736263736263737,0.20821114369501467,0.2454308093994778,0.6235245757237654,0.0,0.14285714285714285,0.2,0.3921568627450982,0.06666666666666667,,,
RD Berrington (SCOT),2016-2022,0.24242424242424243,0.23333333333333334,0.14285714285714285,0.166015625,0.4175824175824176,0.206426112456968,0.18276762402088775,0.628927124317341,0.0,0.14285714285714285,0.6000000000000001,0.06862745098039218,0.1333333333333333,,,
LMP Simmons (WI),2009-2021,0.24242424242424243,0.26666666666666666,0.07142857142857142,0.216796875,0.5494505494505495,0.2061711079943899,0.23890339425587465,0.6314522285512949,0.0,0.14285714285714285,0.8,0.25490196078431376,0.11666666666666665,,,
PWH de Silva (SL),2021-2022,0.30303030303030304,,,0.232421875,,0.01976284584980234,0.3433420365535248,0.004697868342239703,,,,,,0.17582417582417564,0.3333333333333333,0.5555555555555556
A Zampa (AUS),2016-2022,0.24242424242424243,,,0.1845703125,,0.04335075863827617,0.25718015665796345,0.01174467085559927,,,,,,0.26098901098901095,0.0,0.3333333333333333
S Badree (WI),2012-2016,0.27272727272727276,,,0.2041015625,,0.04692082111436949,0.3276762402088773,0.021727641082858642,,,,,,0.09615384615384603,0.3333333333333333,0.3611111111111111
TA Boult (NZ),2014-2022,0.24242424242424243,,,0.2431640625,,0.06043605763100854,0.30156657963446476,0.01350637148393917,,,,,,0.3846153846153846,0.0,0.3888888888888889
BAW Mendis (SL),2009-2014,0.45454545454545453,,,0.3994140625,,0.06528114241999233,0.4804177545691906,0.014093605026719122,,,,,,0.4203296703296704,1.0,0.6666666666666667
Shadab Khan (PAK),2021-2022,0.2121212121212121,,,0.181640625,,0.06693867142674995,0.2493472584856397,0.021727641082858642,,,,,,0.2774725274725274,0.0,0.25000000000000006
SP Narine (WI),2012-2014,0.18181818181818182,,,0.111328125,,0.07012622720897616,0.21540469973890342,0.03993188090903753,,,,,,0.0,0.3333333333333333,0.1111111111111111
Rashid Khan (AFG),2016-2022,0.27272727272727276,,,0.2490234375,,0.07994389901823282,0.3224543080939948,0.02466380879675846,,,,,,0.3296703296703296,0.0,0.3333333333333333
GP Swann (ENG),2009-2012,0.30303030303030304,,,0.2353515625,,0.08121892133112327,0.2963446475195822,0.02348934171119854,,,,,,0.3653846153846154,0.6666666666666666,0.3055555555555555
Saeed Ajmal (PAK),2009-2014,0.5151515151515151,,,0.478515625,,0.08874155297717709,0.5652741514360313,0.022314874625638623,,,,,,0.44505494505494503,0.3333333333333333,0.6944444444444444
WD Parnell (SA),2009-2022,0.24242424242424243,,,0.1875,,0.09256661991584852,0.2245430809399478,0.02466380879675846,,,,,,0.43131868131868134,0.3333333333333333,0.19444444444444448
R Ashwin (IND),2012-2022,0.5454545454545454,,,0.4248046875,,0.09371413999744993,0.531331592689295,0.02877444359621821,,,,,,0.3626373626373627,0.0,0.5833333333333333
Umar Gul (PAK),2007-2014,0.5454545454545454,,,0.4755859375,,0.09371413999744993,0.5104438642297651,0.018204239826178872,,,,,,0.5851648351648349,0.0,0.6666666666666667
NL McCullum (NZ),2007-2016,0.4848484848484849,,,0.275390625,,0.09486166007905136,0.391644908616188,0.03817018028069763,,,,,,0.21153846153846168,0.0,0.3333333333333333
MG Johnson (AUS),2007-2010,0.24242424242424243,,,0.228515625,,0.09753920693612136,0.2741514360313316,0.027012742967878325,,,,,,0.42582417582417564,0.0,0.25000000000000006
IS Sodhi (NZ),2016-2022,0.3333333333333333,,,0.3193359375,,0.1002167537931914,0.35900783289817234,0.024076575253978508,,,,,,0.5137362637362637,0.0,0.3888888888888889
Shaheen Shah Afridi (PAK),2021-2022,0.2121212121212121,,,0.2021484375,,0.1032768073441285,0.2506527415143603,0.031123377767338076,,,,,,0.3873626373626373,0.3333333333333333,0.19444444444444448
Shakib Al Hasan (BAN),2007-2022,0.909090909090909,,,0.7412109375,,0.1113094479153385,0.8772845953002613,0.03171061131011803,,,,,,0.4423076923076923,0.0,1.0
MJ Santner (NZ),2016-2022,0.3333333333333333,,,0.2685546875,,0.11169195460920564,0.3368146214099217,0.03582124610957778,,,,,,0.36813186813186793,0.0,0.27777777777777773
M Morkel (SA),2007-2014,0.3333333333333333,,,0.3271484375,,0.11385949254111943,0.3563968668407311,0.027012742967878325,,,,,,0.5604395604395604,0.0,0.3611111111111111
Al-Amin Hossain (BAN),2014-2016,0.24242424242424243,,,0.2197265625,,0.11602703047303325,0.20626631853785898,0.020553173997298724,,,,,,0.739010989010989,0.0,0.19444444444444448
DW Steyn (SA),2009-2016,0.5151515151515151,,,0.451171875,,0.11985209741170469,0.5169712793733681,0.03288507839567796,,,,,,0.4917582417582418,0.3333333333333333,0.5277777777777777
DL Vettori (NZ),2007-2012,0.3333333333333333,,,0.2685546875,,0.12367716435037615,0.391644908616188,0.0534382523929767,,,,,,0.18131868131868134,0.0,0.25000000000000006
Taskin Ahmed (BAN),2014-2022,0.30303030303030304,,,0.2353515625,,0.1272472268264694,0.28720626631853785,0.04051911445181748,,,,,,0.4065934065934067,0.6666666666666666,0.19444444444444448
M Theekshana (SL),2021-2022,0.27272727272727276,,,0.216796875,,0.12801224021420374,0.29765013054830286,0.049327617593516934,,,,,,0.2664835164835164,0.0,0.16666666666666669
IK Pathan (IND),2007-2012,0.27272727272727276,,,0.19921875,,0.12954226698967228,0.20234986945169714,0.029948910681778143,,,,,,0.6291208791208791,0.3333333333333333,0.1388888888888889
SL Malinga (SL),2007-2014,0.7575757575757576,,,0.630859375,,0.12966976922096138,0.6697127937336815,0.030536144224558096,,,,,,0.6208791208791209,0.0,0.75
MRJ Watt (SCOT),2016-2022,0.24242424242424243,,,0.2041015625,,0.13349483615963278,0.2885117493472585,0.05402548593575665,,,,,,0.2362637362637363,0.0,0.1388888888888889
